Date,WDXRSA,WDXRSA,SLOPE,HEADLINES,SENTIMENT SCORE,TRAINING DATA,slope to score conversion,,,TESTING SLOPE,TESTING SENTIMENT
1998-01-01,90.10814939,90.10814939,0.11203783,"US Chemical Safety Board (CSB) was formed with headquarters in Washington, DC, as an independent federal agency charged with investigating industrial chemical accidents.",3,64.41021506,1,	-4.0079339 to -2.0439339,,0.72211556,3
1998-02-01,90.22018722,90.22018722,0.1257151,"Democratic fundraiser Yah Lin ""Charlie"" Trie pleaded innocent in Washington to charges he'd raised illegal donations to buy influence in high places.",3,65.13233062,2,-2.044 to -0.0799339,,0.86552219,3
1998-03-01,90.34590232,90.34590232,0.20411221,,3,65.99785281,3,-0.080 to 1.8840661 ,,0.64088149,3
1998-04-01,90.55001453,90.55001453,0.29263075,A Pentagon panel said remains of the Vietnam veteran in the Tomb of the Unknowns in Arlington National Cemetery should be exhumed,3,66.6387343,4,1.884 to 3.8480661,,0.80599133,3
1998-05-01,90.84264528,90.84264528,0.4546716,"The $816 million, 3.1 million-sq.-ft. Ronald Reagan Federal Building in Washington DC was dedicated.",3,67.44472563,5,3.848 to 5.8120661,,1.07219782,3
1998-06-01,91.29731688,91.29731688,0.25063019,,3,68.51692345,,,,0.87024187,3
1998-07-01,91.54794707,91.54794707,0.23678672,"A gunman burst past a metal detector at the US Capital and killed 2 policemen, officers Jacob Chestnut and John Gibson, and wounded a visitor.",3,69.38716532,,,,0.86728757,3
1998-08-01,91.78473379,91.78473379,0.18467894,,3,70.25445289,,,,1.14128075,3
1998-09-01,91.96941273,91.96941273,0.43319435,,3,71.39573364,,,,0.92237055,3
1998-10-01,92.40260708,92.40260708,0.60987473,"$35 million contribution to Conservation Int’l., an environmental group for biodiversity",3,72.31810419,,,,0.8405346,3
1998-11-01,93.01248181,93.01248181,0.50090038,A measure on medical marijuana was voted upon.,3,73.15863879,,,,0.42692421,3
1998-12-01,93.51338219,93.51338219,0.67467341,Bill Clinton Impeached,3,73.585563,,,,0.81635148,3
1999-01-01,94.1880556,94.1880556,0.23909634,Anthony A. Williams was inaugurated as mayor of Washington DC,3,74.40191448,,,,0.88606894,3
1999-02-01,94.42715194,94.42715194,0.50035281,,3,75.28798342,,,,1.10676217,3
1999-03-01,94.92750475,94.92750475,0.5935247,,3,76.39474559,,,,0.90712844,3
1999-04-01,95.52102945,95.52102945,0.33508263,,3,77.30187403,,,,1.07797641,3
1999-05-01,95.85611208,95.85611208,0.7358242,,3,78.37985044,,,,0.96093836,3
1999-06-01,96.59193628,96.59193628,0.7029695,,3,79.3407888,,,,1.43432369,3
1999-07-01,97.29490578,97.29490578,0.71997388,,3,80.77511249,,,,1.15363773,3
1999-08-01,98.01487966,98.01487966,0.58482391,,3,81.92875022,,,,1.22890898,3
1999-09-01,98.59970357,98.59970357,0.39278741,Pentagon Attacks,3,83.1576592,,,,0.51658324,3
1999-10-01,98.99249098,98.99249098,0.46336225,,3,83.67424244,,,,0.95839699,3
1999-11-01,99.45585323,99.45585323,0.63828037,,3,84.63263943,,,,1.29588666,3
1999-12-01,100.0941336,100.0941336,0.7777026,,3,85.92852609,,,,0.94043134,3
2000-01-01,100.8718362,100.8718362,0.8294058,,3,86.86895743,,,,0.9333092,3
2000-02-01,101.701242,101.701242,1.1929522,,3,87.80226663,,,,0.81670132,3
2000-03-01,102.8941942,102.8941942,1.0598449,,3,88.61896795,,,,0.70626952,3
2000-04-01,103.9540391,103.9540391,0.9705758,,3,89.32523747,,,,0.45188934,3
2000-05-01,104.9246149,104.9246149,0.7938913,,3,89.77712681,,,,0.42608603,3
2000-06-01,105.7185062,105.7185062,0.9928496,,3,90.20321284,,,,0.50451855,3
2000-07-01,106.7113558,106.7113558,1.081285,,3,90.70773139,,,,0.6574264,3
2000-08-01,107.7926408,107.7926408,1.202015,,3,91.36515779,,,,0.56212395,3
2000-09-01,108.9946558,108.9946558,0.877302,,3,91.92728174,,,,0.26297508,3
2000-10-01,109.8719578,109.8719578,1.216048,,3,92.19025682,,,,0.19220905,3
2000-11-01,111.0880058,111.0880058,1.3162259,,3,92.38246587,,,,0.45828678,3
2000-12-01,112.4042317,112.4042317,1.3901857,,3,92.84075265,,,,0.52210214,3
2001-01-01,113.7944174,113.7944174,1.596181,,3,93.36285479,,,,0.3016717,3
2001-02-01,115.3905984,115.3905984,1.4477258,,3,93.66452649,,,,-0.05938862,3
2001-03-01,116.8383242,116.8383242,1.7922457,,3,93.60513787,,,,-0.01960392,3
2001-04-01,118.6305699,118.6305699,0.6262861,,3,93.58553395,,,,-0.47337311,2
2001-05-01,119.256856,119.256856,0.9894217,,3,93.11216084,,,,-0.47839067,2
2001-06-01,120.2462777,120.2462777,0.8344143,,3,92.63377017,,,,-0.40648498,2
2001-07-01,121.080692,121.080692,1.0065568,,3,92.22728519,,,,-0.38558219,2
2001-08-01,122.0872488,122.0872488,1.0165663,,3,91.841703,,,,-0.40998776,2
2001-09-01,123.1038151,123.1038151,1.0305378,"September 11, 2001",3,91.43171524,,,,-0.1749542,2
2001-10-01,124.1343529,124.1343529,0.9120428,,3,91.25676104,,,,-0.25077258,2
2001-11-01,125.0463957,125.0463957,1.1317123,,3,91.00598846,,,,-0.06904573,3
2001-12-01,126.178108,126.178108,1.0675835,,3,90.93694273,,,,-1.23007162,2
2002-01-01,127.2456915,127.2456915,1.5781055,,3,89.70687111,,,,-0.44226104,2
2002-02-01,128.823797,128.823797,1.3151311,,3,89.26461007,,,,-1.05349459,2
2002-03-01,130.1389281,130.1389281,1.4843247,,3,88.21111548,,,,-0.28933396,2
2002-04-01,131.6232528,131.6232528,1.6716626,,3,87.92178152,,,,0.72949116,3
2002-05-01,133.2949154,133.2949154,1.5456459,,3,88.65127268,,,,0.28536469,3
2002-06-01,134.8405613,134.8405613,2.1580829,,4,88.93663737,,,,0.05790761,3
2002-07-01,136.9986442,136.9986442,1.9563761,,4,88.99454498,,,,-0.38212162,2
2002-08-01,138.9550203,138.9550203,1.8472368,,3,88.61242336,,,,-0.12459526,2
2002-09-01,140.8022571,140.8022571,1.6466648,,3,88.4878281,,,,-0.06296192,3
2002-10-01,142.4489219,142.4489219,1.4168868,,3,88.42486618,,,,0.24733877,3
2002-11-01,143.8658087,143.8658087,1.7246578,,3,88.67220495,,,,-0.20111609,2
2002-12-01,145.5904665,145.5904665,1.0863362,,3,88.47108886,,,,0.10271809,3
